,pre,post,cel_jsh_chemical.csv' with 108 nodes and 817 edges_weight,cel_n2u_chemical.csv' with 89 nodes and 986 edges_weight,witvliet_2020_1_L1_chem.csv' with 76 nodes and 349 edges_weight,witvliet_2020_2_L1_chem.csv' with 77 nodes and 410 edges_weight,witvliet_2020_3_L1_chem.csv' with 77 nodes and 419 edges_weight,witvliet_2020_4_L1_chem.csv' with 81 nodes and 469 edges_weight,witvliet_2020_5_L2_chem.csv' with 84 nodes and 620 edges_weight,witvliet_2020_6_L3_chem.csv' with 85 nodes and 611 edges_weight,witvliet_2020_7_ad_chem.csv' with 88 nodes and 859 edges_weight,witvliet_2020_8_ad_chem.csv' with 88 nodes and 838 edges_weight,conserved,average_size
1535,AVL,FLP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1536,AVL,CEPsh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1537,AVL,DVC,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,2.0
1538,AVL,IL1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1539,AVL,PVP,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0
1540,AVL,RIM,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0
1541,AVL,URY,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,2.3333333333333335
1542,AVL,RIB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0
1543,AVL,OLQ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1544,URA,URX,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2,1.0
1545,URA,URY,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,1.5
1546,URA,pBWM,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,46.0
1547,URA,pBWM2,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,17.0
1548,URA,pBWM3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.0
1549,URA,pBWM5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0
1550,URA,pBWM6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.0
1551,URA,pBWM8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.0
1552,RMDD,RMDD,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,5,2.0
1553,RMDD,RMDV,204.0,137.0,15.0,22.0,23.0,19.0,38.0,36.0,52.0,43.0,10,58.9
1554,RMDD,RME,2.0,4.0,5.0,4.0,3.0,3.0,8.0,1.0,2.0,7.0,10,3.9
1555,RMDD,SMB,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,7,1.7142857142857142
1556,RMDD,URA,1.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,4,4.0
1557,RMDD,URB,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3,1.6666666666666667
1558,RMDD,URY,85.0,77.0,5.0,8.0,6.0,8.0,12.0,26.0,28.0,40.0,10,29.5
1559,RMDD,RMH,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,2.0
1560,RMDD,SMD,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,3.5
1561,RMDD,RMG,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,4,2.25
1562,RMDD,URX,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0
1563,RMDD,RMF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0
1564,RMDD,SAA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1565,RMDD,pBWM,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,37.0
1566,RMDD,pBWM3,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,31.0
1567,RMDD,pBWM4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0
1568,RMDD,pBWM5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0
1569,RMDD,pBWM6,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.0
1570,RMDD,pBWM9,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24.0
1571,RMDV,RMDV,5.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,4.0,6,3.3333333333333335
1572,RMDV,RME,17.0,0.0,8.0,8.0,8.0,4.0,4.0,7.0,7.0,5.0,9,7.555555555555555
1573,RMDV,RMG,34.0,38.0,4.0,3.0,5.0,2.0,4.0,6.0,9.0,6.0,10,11.1
1574,RMDV,SMB,4.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,6.0,6.0,10,3.0
1575,RMDV,URA,10.0,10.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,5,5.0
1576,RMDV,URY,55.0,64.0,3.0,5.0,6.0,6.0,11.0,20.0,40.0,46.0,10,25.6
1577,RMDV,SMD,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1578,RMDV,SAA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1579,RMDV,SIA,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.0
1580,RMDV,SIBD,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0
1581,RMDV,SIBV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1582,RMDV,RMF,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,3.5
1583,RMDV,RMH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1584,RMDV,URB,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0
1585,RMDV,pBWM,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,55.0
1586,RMDV,pBWM5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.0
1587,RMDV,pBWM6,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,30.0
1588,RMDV,pBWM7,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,26.0
1589,RMDV,pBWM8,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,30.0
1590,RMDV,pBWM9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0
1591,RME,RME,12.0,8.0,1.0,2.0,4.0,2.0,1.0,1.0,3.0,2.0,10,3.6
1592,RME,SMB,89.0,58.0,7.0,9.0,10.0,6.0,6.0,18.0,19.0,18.0,10,24.0
1593,RME,SMD,29.0,30.0,3.0,4.0,8.0,7.0,7.0,10.0,5.0,6.0,10,10.9
1594,RME,URA,19.0,37.0,14.0,16.0,11.0,11.0,21.0,16.0,19.0,20.0,10,18.4
1595,RME,URY,1.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,4,3.5
1596,RME,RMH,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.0
1597,RME,SAA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1598,RME,RMF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0
1599,RME,URB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1600,RME,VB01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1601,RME,pBWM,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.0
1602,RME,pBWM3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.0
1603,RME,pBWM4,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.0
1604,RME,pBWM5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.0
1605,RME,pBWM6,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,58.0
1606,RME,pBWM7,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,21.0
1607,RME,pBWM8,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11.0
1608,RME,pBWM9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1609,RID,RME,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1610,RID,RMG,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,2.0
1611,RID,RMH,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1612,RID,SIBV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1613,RID,URX,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1614,RID,URY,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,2.5
1615,RID,g,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1616,VB01,VB02,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.0
1617,HSN,HSN,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,4.0
1618,HSN,PVN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4,2.5
1619,HSN,PVQ,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3,8.333333333333334
1620,HSN,RIF,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,4,9.5
1621,HSN,RIM,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,4.5
1622,HSN,RIR,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0
1623,HSN,RMDD,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1624,HSN,RMG,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,1.3333333333333333
1625,HSN,URX,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1626,HSN,hyp,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1627,PVN,PVN,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3,3.6666666666666665
1628,PVN,URB,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0
1629,PVN,URX,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0
1630,PVN,PVQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0
1631,PVN,RIF,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3,6.0
1632,PVN,RMG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,1.0
1633,PVN,SDQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0
1634,PVN,SMB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0
1635,PLN,RMDV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
1636,PLN,SAA,24.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,19.0,4,17.0
1637,PLN,SMB,26.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,19.0,4,22.0
1638,PLN,RID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0
1639,PLN,RIG,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3,2.0
1640,PLN,RMG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2,3.5
1641,PLN,SMD,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3,3.0
1642,PLN,RMF,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0
1643,PLN,g,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0
1644,VC01,VD01,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0
1645,DB02,DVA,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0
