,Unnamed: 0_x,pre,post,jsa_adj,n2w_adj,conserved_x,average_size_x,Unnamed: 0_y,synaptic_weight,conserved_y,average_size_y,dummy_size,jsa_adj-s,n2w_adj-s,ave_scaled_adjacency,pre_brittin,post_brittin,pre_moyle,post_moyle,brittin_strata,moyle_strata,brittin_bool_1,brittin_bool_2
55,55,I2R,M4,13670.0,3268.0,2,8469.0,80.0,1.0,1.0,1.0,1,1.232898934912413,0.0854762530693343,0.6591875939908737,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
56,56,I2R,MCL,4969.0,400.0,2,2684.5,81.0,0.5,1.0,0.5,1,-0.004065290591286169,-0.5821348807505204,-0.2931000856709033,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
57,57,I2R,MCR,3952.0,160.0,2,2056.0,0.0,0.0,0.0,0.0,0,-0.14864552474106918,-0.6380019212375375,-0.39332372298930335,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
58,58,I2R,MI,166.0,0.0,1,166.0,0.0,0.0,0.0,0.0,0,-0.6868763669151877,-0.6752466148955489,-0.6810614909053683,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
59,59,I2R,NSML,47440.0,22241.0,2,34840.5,82.0,33.0,1.0,33.0,1,6.033758824035494,4.5019985829034015,5.267878703469448,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
60,60,I2R,NSMR,10274.0,9800.0,2,10037.0,83.0,8.5,1.0,8.5,1,0.7501118403473559,1.6059908716576505,1.1780513560025032,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
61,61,I2R,I3,0.0,50.0,1,50.0,0.0,0.0,0.0,0.0,0,-0.7104755005128908,-0.6636076481274205,-0.6870415743201557,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
62,62,I3,I6,11993.0,0.0,1,11993.0,0.0,0.0,0.0,0.0,0,0.9944908201934493,-0.6752466148955489,0.15962210264895016,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
63,63,I3,M1,628.0,8352.0,2,4490.0,20.0,8.5,1.0,8.5,1,-0.6211968505167612,1.2689263940526472,0.323864771767943,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
64,64,I3,M2L,126.0,3617.0,2,1871.5,21.0,3.0,1.0,3.0,1,-0.6925629051315016,0.16671624111087172,-0.262923332010315,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
65,65,I3,M2R,2320.0,2908.0,2,2614.0,22.0,0.5,1.0,0.5,1,-0.3806562839666797,0.0016756923388086098,-0.18949029581393556,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
66,66,I3,M3L,3403.0,337.0,2,1870.0,23.0,2.0,1.0,2.0,1,-0.22669326175997861,-0.5967999788783624,-0.41174662031917053,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
67,67,I3,M3R,1173.0,51.0,2,612.0,24.0,3.0,1.0,3.0,1,-0.5437177673194832,-0.6633748687920579,-0.6035463180557705,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
68,68,I3,MCL,597.0,2190.0,2,1393.5,26.0,2.5,1.0,2.5,1,-0.6256039176344045,-0.16545987045151764,-0.3955318940429611,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
69,69,I3,MCR,1248.0,459.0,2,853.5,27.0,2.5,1.0,2.5,1,-0.5330555081638945,-0.5684008999641287,-0.5507282040640116,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
70,70,I3,MI,12467.0,10338.0,2,11402.5,28.0,2.0,1.0,2.0,1,1.06187629805677,1.731226154082714,1.3965512260697421,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
71,71,I3,NSMR,4542.0,0.0,1,4542.0,29.0,1.5,1.0,1.5,1,-0.06476908605043794,-0.6752466148955489,-0.37000785047299345,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
72,72,I3,M4,0.0,1977.0,1,1977.0,25.0,2.0,1.0,2.0,1,-0.7104755005128908,-0.21504186888374535,-0.46275868469831805,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
73,73,I5,I6,226.0,0.0,1,226.0,0.0,0.0,0.0,0.0,0,-0.6783465595907168,-0.6752466148955489,-0.6767965872431329,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
74,74,I5,M1,6298.0,0.0,1,6298.0,30.0,5.5,1.0,5.5,1,0.1848699416457459,-0.6752466148955489,-0.24518833662490153,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
75,75,I5,M2R,1356.0,0.0,1,1356.0,32.0,3.0,1.0,3.0,1,-0.5177018549798467,-0.6752466148955489,-0.5964742349376978,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
76,76,I5,M3L,6109.0,0.0,1,6109.0,33.0,12.5,1.0,12.5,1,0.15800104857366234,-0.6752466148955489,-0.2586227831609433,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
77,77,I5,M3R,1216.0,0.0,1,1216.0,34.0,2.0,1.0,2.0,1,-0.5376047387369456,-0.6752466148955489,-0.6064256768162473,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
78,78,I5,M4,43450.0,0.0,1,43450.0,35.0,28.0,1.0,28.0,1,5.466526636958173,-0.6752466148955489,2.395640011031312,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
79,79,I5,MCL,4546.0,0.0,1,4546.0,0.0,0.0,0.0,0.0,0,-0.06420043222880654,-0.6752466148955489,-0.36972352356217775,non-ganglia,non-ganglia,non-ganglia,non-ganglia,0,0,1,0
