,pre,post,witvliet_dataset2_vol.csv' with 80 nodes and 1702 edges_weight,witvliet_dataset4_vol.csv' with 87 nodes and 2025 edges_weight,witvliet_dataset3_vol.csv' with 83 nodes and 1737 edges_weight,witvliet_dataset1_vol.csv' with 82 nodes and 1765 edges_weight,witvliet_dataset6_vol.csv' with 85 nodes and 1992 edges_weight,cel_n2u_adjacency.csv' with 89 nodes and 2150 edges_weight,cel_jsh_nr_adj.csv' with 89 nodes and 2150 edges_weight,witvliet_dataset5_vol.csv' with 88 nodes and 2163 edges_weight,witvliet_dataset8_vol.csv' with 88 nodes and 2266 edges_weight,conserved,average_size,elegans_sum,pristi_sum,pristi_specific,elegans_specific,in_pristi
112,ADE,ALN,0.0,354120.0,0.0,0.0,1466572.0,25387.0,25387.0,980400.0,2970240.0,6,970351.0,6,0.0,no,no,no
113,ADE,AQR,0.0,332160.0,0.0,0.0,847502.0,3650.0,3650.0,341400.0,1055760.0,6,430687.0,6,0.0,no,no,no
114,ADE,ASI,0.0,1080.0,0.0,0.0,0.0,269.0,269.0,0.0,0.0,3,539.3333333333334,3,0.0,no,no,no
115,ADE,AVD,0.0,203160.0,57480.0,117120.0,228770.0,4334.0,4334.0,658080.0,796800.0,8,258759.75,8,0.0,no,no,no
116,ADE,AVE,0.0,241560.0,0.0,0.0,15206.0,7116.0,7116.0,214560.0,503520.0,6,164846.33333333334,6,0.0,no,no,no
117,ADE,AVF,0.0,534600.0,0.0,0.0,203765.0,2510.0,2510.0,760800.0,1164240.0,6,444737.5,6,0.0,no,no,no
118,ADE,AVH,0.0,208800.0,0.0,0.0,418682.0,2667.0,2667.0,270240.0,408720.0,6,218629.33333333334,6,0.0,no,no,no
119,ADE,AVJ,0.0,146520.0,0.0,3120.0,122326.0,3747.0,3747.0,306000.0,371040.0,7,136642.85714285713,7,0.0,no,no,no
120,ADE,DVA,0.0,89160.0,22440.0,164520.0,510258.0,11826.0,11826.0,341760.0,1307760.0,8,307443.75,8,0.0,no,no,no
121,ADE,IL1,0.0,160320.0,0.0,0.0,2155928.0,18770.0,18770.0,1127160.0,3818160.0,6,1216518.0,6,0.0,no,no,no
122,ADE,IL2,0.0,4920.0,0.0,0.0,1611539.0,17180.0,17180.0,95880.0,1933680.0,6,613396.5,6,0.0,no,no,no
123,ADE,OLL,0.0,95520.0,0.0,0.0,1363507.0,17360.0,17360.0,156720.0,1267440.0,6,486317.8333333333,6,0.0,no,no,no
124,ADE,PVP,0.0,8160.0,840.0,33480.0,0.0,0.0,0.0,94080.0,4080.0,5,28128.0,5,0.0,no,no,no
125,ADE,PVR,0.0,26520.0,46560.0,0.0,102727.0,5134.0,5134.0,158040.0,1275600.0,7,231387.85714285713,7,0.0,no,no,no
126,ADE,RIA,0.0,7080.0,0.0,0.0,470722.0,2316.0,2316.0,437760.0,765120.0,6,280885.6666666667,6,0.0,no,no,no
127,ADE,RIC,0.0,57720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,57720.0,1,0.0,no,no,no
128,ADE,RID,0.0,10080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10080.0,1,0.0,no,no,no
129,ADE,RIF,0.0,5640.0,0.0,0.0,272025.0,5733.0,5733.0,186240.0,529920.0,6,167548.5,6,0.0,no,no,no
130,ADE,RIM,0.0,591600.0,0.0,0.0,129423.0,0.0,0.0,0.0,85200.0,3,268741.0,3,0.0,no,no,no
131,ADE,RIR,0.0,23400.0,0.0,0.0,0.0,2823.0,2823.0,0.0,0.0,3,9682.0,3,0.0,no,no,no
132,ADE,RIV,0.0,663000.0,7320.0,0.0,732272.0,25106.0,25106.0,1048560.0,3180480.0,7,811692.0,7,0.0,no,no,no
133,ADE,RMD,0.0,109320.0,0.0,0.0,1352692.0,18309.0,18309.0,102840.0,1831920.0,6,572231.6666666666,6,0.0,no,no,no
134,ADE,RMG,0.0,27480.0,0.0,0.0,235530.0,1673.0,1673.0,11640.0,154320.0,6,72052.66666666667,6,0.0,no,no,no
135,ADE,RMH,0.0,681240.0,0.0,0.0,1772052.0,4985.0,4985.0,320520.0,2751600.0,6,922563.6666666666,6,0.0,no,no,no
136,ADE,SDQ,0.0,179520.0,0.0,0.0,432875.0,7240.0,7240.0,478440.0,1568160.0,6,445579.1666666667,6,0.0,no,no,no
137,ADE,SIBD,0.0,234120.0,0.0,0.0,469032.0,5161.0,5161.0,514920.0,2055840.0,6,547372.3333333334,6,0.0,no,no,no
138,ADE,SIBV,0.0,39120.0,94440.0,0.0,343662.0,4440.0,4440.0,492120.0,1982400.0,7,422946.0,7,0.0,no,no,no
139,ADE,URB,0.0,282720.0,0.0,0.0,2308330.0,15331.0,15331.0,2268120.0,3642720.0,6,1422092.0,6,0.0,no,no,no
140,ADE,VA,0.0,134640.0,0.0,0.0,0.0,0.0,0.0,138480.0,0.0,2,136560.0,2,0.0,no,no,no
141,ADE,VB,0.0,160200.0,0.0,0.0,0.0,0.0,0.0,1447320.0,0.0,2,803760.0,2,0.0,no,no,no
142,ADE,Fragment2,0.0,0.0,12240.0,9480.0,0.0,0.0,0.0,0.0,0.0,2,10860.0,2,0.0,no,no,no
143,ADE,ASJ,0.0,0.0,0.0,0.0,3717.0,1689.0,1689.0,76440.0,235200.0,5,63747.0,5,0.0,no,no,no
144,ADE,ASK,0.0,0.0,0.0,0.0,4730.0,0.0,0.0,0.0,0.0,1,4730.0,1,0.0,no,no,no
