,pre,post,cel_jsh_chemical.csv' with 87 nodes and 742 edges_weight,cel_n2u_chemical.csv' with 86 nodes and 986 edges_weight,n930_head1.csv' with 89 nodes and 702 edges_weight,witvliet_2020_1_L1_chem.csv' with 76 nodes and 349 edges_weight,witvliet_2020_2_L1_chem.csv' with 77 nodes and 410 edges_weight,witvliet_2020_3_L1_chem.csv' with 77 nodes and 419 edges_weight,witvliet_2020_4_L1_chem.csv' with 81 nodes and 469 edges_weight,witvliet_2020_5_L2_chem.csv' with 84 nodes and 620 edges_weight,witvliet_2020_6_L3_chem.csv' with 85 nodes and 611 edges_weight,witvliet_2020_7_ad_chem.csv' with 88 nodes and 859 edges_weight,witvliet_2020_8_ad_chem.csv' with 88 nodes and 838 edges_weight,conserved,average_size
105,ADE,PVN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0
106,ADE,PVP,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,2.5
107,ADE,RMF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2,6.0
108,ADE,SIBV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,2.0
109,ADE,PVT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,2.0
110,ADE,RMDD,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,2.0
111,ADE,AVF,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0
112,ADE,PVQ,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
113,ADL,AIA,20.0,53.0,46.0,4.0,4.0,7.0,11.0,8.0,12.0,16.0,28.0,11,19.0
114,ADL,AIB,19.0,55.0,64.0,5.0,2.0,8.0,9.0,13.0,11.0,24.0,31.0,11,21.90909090909091
115,ADL,ASE,7.0,20.0,8.0,1.0,0.0,5.0,0.0,5.0,3.0,12.0,5.0,9,7.333333333333333
116,ADL,ASH,14.0,29.0,17.0,0.0,0.0,1.0,4.0,8.0,3.0,14.0,19.0,9,12.11111111111111
117,ADL,ASK,17.0,3.0,1.0,8.0,5.0,6.0,9.0,6.0,6.0,6.0,9.0,11,6.909090909090909
118,ADL,AVA,23.0,22.0,0.0,0.0,0.0,0.0,7.0,2.0,4.0,10.0,30.0,7,14.0
119,ADL,AVB,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4,5.75
120,ADL,AVD,31.0,48.0,13.0,0.0,2.0,4.0,5.0,14.0,9.0,14.0,26.0,10,16.6
121,ADL,AVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3,1.3333333333333333
122,ADL,AVH,9.0,3.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,10,2.4
123,ADL,AVJ,4.0,14.0,9.0,0.0,2.0,2.0,2.0,8.0,5.0,8.0,5.0,10,5.9
124,ADL,AWA,4.0,1.0,3.0,3.0,2.0,5.0,3.0,2.0,1.0,1.0,5.0,11,2.727272727272727
125,ADL,AWC,13.0,9.0,0.0,4.0,1.0,5.0,5.0,9.0,8.0,8.0,13.0,10,7.5
126,ADL,CEPsh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,1.0
127,ADL,PVC,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3,3.0
128,ADL,PVP,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4,2.25
129,ADL,PVQ,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,7,2.2857142857142856
130,ADL,SMB,0.0,12.0,9.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,10.0,7,5.714285714285714
131,ADL,OLQ,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4,2.0
132,ADL,URB,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,6.0
133,ADL,ASJ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0
134,ADL,OLL,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.3333333333333333
135,ADL,SIBD,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,3,1.3333333333333333
136,ADL,SIA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0
137,ADL,ASI,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.0
138,ADL,ADL,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0
139,ADL,ALA,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2.3333333333333335
140,ADL,ASG,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,4.0
141,ADL,AWB,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4,2.0
142,ADL,CEPV,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0
143,ADL,HSN,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3,2.0
144,ADL,IL2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0
145,ADL,RIA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
146,ADL,RIC,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.0
147,ADL,RIF,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0
148,ADL,RIG,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0
149,ADL,RIP,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.0
150,ADL,RIR,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
151,ADL,RMG,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
152,ADL,SDQ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
153,ADL,SIBV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
154,ADL,URX,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.0
155,ADL,PVN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0
156,ADL,URY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0
157,ADL,RID,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
158,ADL,AIZ,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.0
159,ADL,AVF,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0
160,ADL,CEPD,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
161,ADL,unk,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20.0
162,AIA,AIB,80.0,100.0,52.0,5.0,10.0,14.0,17.0,21.0,21.0,25.0,35.0,11,34.54545454545455
163,AIA,AIM,28.0,30.0,41.0,6.0,9.0,9.0,6.0,10.0,12.0,15.0,19.0,11,16.818181818181817
164,AIA,AIN,0.0,3.0,13.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6,3.3333333333333335
165,AIA,AIZ,27.0,23.0,23.0,2.0,2.0,2.0,8.0,9.0,12.0,10.0,22.0,11,12.727272727272727
166,AIA,ASE,21.0,38.0,6.0,1.0,1.0,0.0,2.0,5.0,6.0,7.0,3.0,10,9.0
167,AIA,ASG,97.0,132.0,130.0,7.0,7.0,10.0,13.0,18.0,15.0,31.0,22.0,11,43.81818181818182
168,AIA,ASH,51.0,62.0,67.0,5.0,8.0,9.0,13.0,18.0,20.0,29.0,25.0,11,27.90909090909091
169,AIA,ASI,32.0,9.0,5.0,1.0,0.0,2.0,1.0,5.0,5.0,14.0,12.0,10,8.6
170,AIA,ASK,76.0,79.0,64.0,9.0,16.0,18.0,19.0,24.0,34.0,47.0,58.0,11,40.36363636363637
171,AIA,AVH,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4,1.25
172,AIA,AWC,63.0,34.0,35.0,11.0,8.0,16.0,16.0,28.0,21.0,35.0,43.0,11,28.181818181818183
173,AIA,PVQ,41.0,27.0,24.0,7.0,12.0,7.0,10.0,13.0,20.0,18.0,19.0,11,18.0
174,AIA,RIF,43.0,51.0,25.0,2.0,4.0,4.0,2.0,3.0,2.0,5.0,3.0,11,13.090909090909092
175,AIA,AIY,3.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4,5.0
176,AIA,ASJ,2.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,7,1.5714285714285714
177,AIA,AWA,0.0,7.0,0.0,3.0,2.0,2.0,3.0,4.0,0.0,5.0,4.0,8,3.75
178,AIA,AWB,3.0,4.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,5.0,7,2.5714285714285716
179,AIA,AIA,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,12.5
180,AIA,AVF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.0
181,AIA,HSN,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,3,10.0
182,AIA,RIR,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0
183,AIA,RMG,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0
184,AIA,PVN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0
185,AIA,unk,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,117.0
186,AIB,AIZ,83.0,123.0,99.0,8.0,12.0,11.0,21.0,30.0,34.0,46.0,76.0,11,49.36363636363637
187,AIB,ASE,52.0,67.0,17.0,14.0,14.0,18.0,18.0,26.0,22.0,40.0,37.0,11,29.545454545454547
